AP10599a,JOSD2
AP10600c,SPIRE2
AP10601B,ZSWIM1
AP10602b,ZNF493
AP10603c,LRRC34
AP10604a,ZNF611
AP10606a,ZNF30
AP10607b,ZNF324B
AP10608a,RBM43
AP10609c,CCDC148
AP10611A,MAMSTR
AP10612a,TEX9
AP10614b,HFM1
AP10615a,LACE1
AP10617b,PURG
AP10619a,WDR21C
AP1061a,Mouse Dnmt2
AP10622a,SPATC1
AP10623a,IGSF5
AP10624c,PRRG3
AP10625a,CCDC37
AP10626a,S100Z
AP10627b,FBXO39
AP1062a,Mouse Dnmt3L
AP10630b,ZNF492
AP10631c,POTEF
AP10633b,ZSWIM6
AP10635b,NGRN
AP10636b,WDR32
AP10637b,OR10X1
AP10638b,OR51I1
AP10639a,CD109
AP1063b,UBE1C
AP10640c,YDJC
AP10641c,PCOTH
AP10643a,DNAJB8
AP10644c,CCDC38
AP10645a,SCN1B
AP10646c,CEP70
AP10647a,BHLHE40
AP10648a,APG8a/b(MAP1LC3A/B)
AP10649B,BHLHA15
AP1064a,UBC9 (UBE2I)
AP10650a,HHLA2
AP10651b,WDR76
AP10652c,CPLX3
AP10653A,ZUFSP
AP10654B,FNIP2
AP10656B,RICH2
AP10657a,LRRC36
AP1065b,SAE2 (UBA2) (C-term E616)
AP10661c,CES2
AP10662a,C2
AP10664a,BARD1
AP10665a,BRIP1
AP10666c,CD34
AP10667a,CHRDL1
AP10668a,CD11b
AP10669c,CCNT1
AP10670b,ACF
AP10672a,BCKDHB
AP10673C,SREBF2
AP10674b,CB2
AP10675b,PDE7B
AP10676c,PPP1R3A
AP10677b,APCS
AP10678a,GPC5
AP10679c,HLA-B
AP1067A,MBD2
AP10680c,HP
AP10681C,LYRM4
AP10682c,NFKBIL1
AP10683b,NPSR1
AP10684c,PON1
AP10685c,SEL1L
AP10687b,IL12_2
AP10688b,MCHR1
AP10689c,SORBS1
AP10690c,CSF2
AP10691c,FAM78B
AP10692c,UPF2
AP10693a,FOLR1
AP10694a,AMY2B
AP10695b,ARHGAP10
AP10696c,B3GNT4
AP10697B,B4GALT6
AP10698a,BCL10
AP10699c,BEX1
AP1069a,USP21
AP10700c,C15orf41
AP10701c,C5AR1
AP10703a,CADM1
AP10704c,CHST2
AP10705a,CIC
